Refs,Availability,Description,MP,Package,Price,datasheet,footprint,value
BZ1,,,,,,,Buzzers_Beepers:MagneticBuzzer_Kingstate_KCG0601,Buzzer
C1,,,,,,,Capacitors_SMD:CP_Elec_3x5.3,10uF/16V
C2,,,,,,,Capacitors_SMD:CP_Elec_3x5.3,100nF/25V
C3,,,,,,,Capacitors_SMD:C_0402,4.7uF
C4,,,,,,,Capacitors_SMD:C_0201,0.22uF
C5,,,,,,,Capacitors_SMD:C_0201,0.1uF
Conn1,,,,,,,pico_ciaa_ponchos:Conn_Pico_Ciaa,Conn_Pico
D1,,,,,,,LEDs:LED_0805_HandSoldering,LED/RED
D2,,,,,,,SML-LX0404SIUPGUSB:DIOC0404X01-4N,LED_ARGB
D3,,,,,,,LEDs:LED_0805_HandSoldering,LED/BLUE
F1,,,,,,,Fuse_Holders_and_Fuses:Fuse_SMD2920,Fuse
J1,,,,,,,Mounting_Holes:MountingHole_2.5mm_Pad_Via,MOUNT_HOLE
J2,,,,,,,Mounting_Holes:MountingHole_2.5mm_Pad_Via,MOUNT_HOLE
J3,,,,,,,Connectors:BARREL_JACK,BARREL_JACK
Q1,,,,,,,TO_SOT_Packages_SMD:SOT-23,Q_NPN_EBC
R1,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R10,,,,,,,Resistors_SMD:R_0402,2K2
R11,,,,,,,Resistors_SMD:R_0805_HandSoldering,10K
R12,,,,,,,Resistors_SMD:R_0805_HandSoldering,10K
R13,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R2,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R3,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R4,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R5,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R6,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R7,,,,,,,Resistors_SMD:R_0805_HandSoldering,470
R8,,,,,,,Resistors_SMD:R_0805_HandSoldering,10K
R9,,,,,,,Resistors_SMD:R_0402,2K2
SW1,,,,,,,Buttons_Switches_THT:SW_NKK_G1xJP,SW_SPDT
SW2,,,,,,,Buttons_Switches_SMD:SW_SPST_EVQPE1,SW_Push
SW3,,,,,,,Buttons_Switches_SMD:SW_SPST_EVQPE1,SW_Push
U1,,,,,,,TO_SOT_Packages_SMD:SOT-223,LD1117S33CTR
U2,Unavailable,None,HC-05,None,None,,MOUDLE-BLUETOOTH-HC-05_34P-27X13MM_:BT34P-SMD-1.5-26.9X13.0X2.2MM,MOUDLE-BLUETOOTH-HC-05(34P-27X13MM)
U3,,,,,,,HMC5883L:LPCC-16,HMC5883L
